tglbeli,klpkode,jnskode,kbarang,pic,nbarang,kondisi,lokasi
01-Dec-17,1,1,1.01.17.001,17095-19,Guitar Yamaha RBX4A2 WAG,NULL,1
01-Dec-17,1,1,1.01.17.002,17095-19,Piano Clavinova CLP 685PE,NULL,1
31-Oct-17,1,1,1.01.17.003,17095-19,Guitar SLG 110 N BM with Case ,NULL,1
31-Oct-17,1,1,1.01.17.004,17095-19,Piano Clavinova CVP 705 B ,NULL,1
11-Oct-17,1,2,1.02.17.001,17095-19,Marshall Acton EU BT-Black 1pcs,NULL,1
20-Oct-17,1,2,1.02.17.002,17095-19,SPK-MARSHALL ACTON BLACK ,NULL,1
20-Oct-17,1,2,1.02.17.003,17095-19,SPK HK ONYX STUDIO III BLACK ,NULL,1
22-Oct-17,1,2,1.02.17.004,17095-19,Speaker Marshall Acton EU BT-Black,NULL,1
31-Oct-17,1,2,1.02.17.005,17095-19,Amplifier Roland AF 60,NULL,1
01-Dec-17,1,2,1.02.17.006,17095-19,Yamaha Stagepass 600i,NULL,1
01-Dec-17,1,2,1.02.17.007,17095-19,Amplifier Bass GK,NULL,1
01-Dec-17,1,2,1.02.17.008,17095-19,LG XDV 55,NULL,1
02-Dec-17,1,2,1.02.17.009,17095-19,Sony Extra Bass MDR-EX750BT/F,NULL,1
18-Nov-15,1,3,1.03.15.001,17095-19,Kulkas LG 1D Reftri 173 LT,NULL,1
18-Nov-15,1,3,1.03.15.002,17095-19,Modena Microwave 20LT,NULL,1
19-Nov-15,1,3,1.03.15.003,17095-19,Oxone Coffe Maker ,NULL,1
19-Nov-15,1,3,1.03.15.004,17095-19,Sharf water dispenser 385W,NULL,1
03-Oct-16,1,3,1.03.16.005,17095-19,Magic Com,NULL,1
03-Oct-16,1,3,1.03.16.006,17095-19,Meja Kantor DUS UL 120 PL,NULL,1
29-Nov-17,1,3,1.03.17.007,17095-19,Bosch Coffe Model TES51523RW,NULL,1
07-Nov-17,1,4,1.04.17.001,17095-19,Ichiro Tronia Black (kursi pijat),NULL,1
07-Nov-17,1,4,1.04.17.002,17095-19,Neofoot Dream Ocean Blue,NULL,1
07-Nov-15,1,5,1.05.15.001,17095-19,AC,NULL,1
18-Oct-17,1,5,1.05.17.002,17095-19,Blueair air cleaner from smokestop,NULL,1
08-Nov-17,1,5,1.05.17.003,17095-19,Humidifier,NULL,1
08-Nov-17,1,5,1.05.17.004,17095-19,Humidifier,NULL,1
08-Nov-17,1,5,1.05.17.005,17095-19,Humidifier,NULL,1
22-Oct-17,1,6,1.06.17.001,17095-19,Desk Lamp LED Bar ,NULL,1
22-Oct-17,1,6,1.06.17.002,17095-19,New Floor Lamp Arco SQR E27 WH ,NULL,1
08-Nov-17,2,7,2.01.12.063,17095-19,London  Z Barstool Black,NULL,1
08-Nov-17,2,7,2.01.12.064,17095-19,London  Z Barstool Black,NULL,1
08-Nov-17,2,7,2.01.12.065,17095-19,London  Z Barstool Black,NULL,1
08-Nov-17,2,7,2.01.12.066,17095-19,London  Z Barstool Black,NULL,1
18-Nov-15,2,7,2.01.17.001,17095-19,Ken Bar Stool White Chrome,NULL,1
02-Jun-17,2,7,2.01.17.002,17095-19,Ulysses Director Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.003,17095-19,Owen Managerial Chair High Back Black,NULL,1
02-Jun-17,2,7,2.01.17.004,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.005,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.006,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.007,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.008,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.009,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.010,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.011,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.012,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.013,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.014,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.015,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.016,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.017,17095-19,Zoff Staff Chair Black,NULL,1
02-Jun-17,2,7,2.01.17.018,17095-19,Zoff Staff Chair Red,NULL,1
02-Jun-17,2,7,2.01.17.019,17095-19,Zoff Staff Chair Red,NULL,1
02-Jun-17,2,7,2.01.17.020,17095-19,Zoff Staff Chair Red,NULL,1
02-Jun-17,2,7,2.01.17.021,17095-19,Zoff Staff Chair Red,NULL,1
02-Jun-17,2,7,2.01.17.022,17095-19,Owen Visitor Chair Low Back Black,NULL,1
02-Jun-17,2,7,2.01.17.023,17095-19,Owen Visitor Chair Low Back Black,NULL,1
02-Jun-17,2,7,2.01.17.024,17095-19,Owen Visitor Chair Low Back Black,NULL,1
02-Jun-17,2,7,2.01.17.025,17095-19,Owen Visitor Chair Low Back Black,NULL,1
12-Jun-07,2,7,2.01.17.026,17095-19,Zoff Staff Chair Black,NULL,1
12-Jun-07,2,7,2.01.17.027,17095-19,Zoff Staff Chair Black,NULL,1
12-Jun-07,2,7,2.01.17.028,17095-19,Whitney Swivel Chair Black,NULL,1
12-Jun-07,2,7,2.01.17.029,17095-19,Talka Lounge Chair Black 57X58X,NULL,1
12-Jun-07,2,7,2.01.17.030,17095-19,Talka Lounge Chair Black 57X58X,NULL,1
12-Jun-07,2,7,2.01.17.031,17095-19,Talka Lounge Chair Black 57X58X,NULL,1
12-Jun-07,2,7,2.01.17.032,17095-19,Talka Lounge Chair Black 57X58X,NULL,1
12-Jun-07,2,7,2.01.17.033,17095-19,Marchi Table Red DIA,NULL,1
11-Oct-17,2,7,2.01.17.034,17095-19,Counsil 9127 Managerial Chair,NULL,1
11-Oct-17,2,7,2.01.17.035,17095-19,Owen Managerial Chair ,NULL,1
11-Oct-17,2,7,2.01.17.036,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.037,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.038,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.039,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.040,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.041,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.042,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.043,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.044,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.045,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.046,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.047,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.048,17095-19,Zoff Staff Chair Black,NULL,1
11-Oct-17,2,7,2.01.17.049,17095-19,Owen Visitor Chair ,NULL,1
11-Oct-17,2,7,2.01.17.050,17095-19,Owen Visitor Chair ,NULL,1
11-Oct-17,2,7,2.01.17.051,17095-19,Owen Visitor Chair ,NULL,1
11-Oct-17,2,7,2.01.17.052,17095-19,Owen Visitor Chair ,NULL,1
13-Oct-17,2,7,2.01.17.053,17095-19,Foster Managerial Chair Black,NULL,1
13-Oct-17,2,7,2.01.17.054,17095-19,Foster Managerial Chair Black,NULL,1
13-Oct-17,2,7,2.01.17.055,17095-19,Foster Managerial Chair Black,NULL,1
13-Oct-17,2,7,2.01.17.056,17095-19,Foster Managerial Chair Black,NULL,1
13-Oct-17,2,7,2.01.17.057,17095-19,Foster Managerial Chair Black,NULL,1
16-Oct-17,2,7,2.01.17.058,17095-19,Ulysses Director Chair Dark Coff ,NULL,1
16-Oct-17,2,7,2.01.17.059,17095-19,Ulysses Director Chair Dark coff ,NULL,1
16-Oct-17,2,7,2.01.17.060,17095-19,Ulysses Director Chair Dark coff ,NULL,1
